title,year
Shiawase Gohan: Maki to Hanazawa,2017
Love Nest 2nd,2019
Noblesse,2007
Attack on Titan: No Regrets,2013
Dou Po Cangqiong,2012
Delusion,2019
Last on Earth (Novel),2016
Mother's Spirit 2,2017
Dangerous Convenience Store,2020
Scum Villain's Self-Saving System (Novel),2014
Alice in Borderland,2010
Robber x Lover,2019
Ellin's Solhwa,2019
Dr. Stone,2017
Kimetsu no Yaiba: Rengoku Kyoujurou Gaiden,2020
The Villainess is Retiring,2021
Fly Me to the Moon,2018
A Business Proposal,2018
Girls' Last Tour,2014
Amongst Us,2017
Act-Age,2018
Beastars,2016
High School DxD (Light Novel),2008
Odd Girl Out,2015
ENNEAD - Part 2,2021
Dengeki Daisy,2007
This Villain Emperor's Gotta Charm the Male Lead to Survive!,2019
Magus of the Library,2017
I Hear the Sunspot,2013
21st Century Boys,2006
Get Schooled,2020
A Bride's Story,2008
Orange (Light Novel),2015
Getting to Know Grace,2019
The Servant Is the Demon King?! (Novel),2016
Karasugaoka Don't be shy!!,2018
Machida-kun no Sekai,2015
The Eminence in Shadow (Light Novel),2018
How to Get My Husband on My Side (Novel),2019
Look Back,2021
Park Hanhoo's Manager,2020
Hellsing,1997
Winter Woods,2014
Something About Us,2014
Finding Camellia (Novel),2020
The Girl and the Geek,2015
Rebuild World,2019
Brutal: Satsujin Keisatsukan no Kokuhaku,2019
Koko wa Ima kara Rinri desu.,2016
The Servant Is the Demon King?!,2019
My Superstar Uncle,2019
The Villainess is a Marionette,2021
Tokyo Crazy Paradise,1996
Death's Game,2019
Unintentional Love Story: Side Story,2021
Yamaguchi-kun Isn't So Bad,2019
JoJo's Bizarre Adventure Part 6: Stone Ocean,1999
Goblin Slayer Side Story: Year One,2017
"Father, Unrivaled",2017
Doom Breaker,2021
The Legendary Moonlight Sculptor (Novel),2007
Karasugaoka Don't be Shy!! 2nd,2019
Toorigakari ni One Point Advice Shiteiku Type no Yankee,2019
The Irregular at Magic High School (Light Novel),2011
Honey Catch,2016
Azumanga Daioh,1999
Sadistic Beauty: Side Story A,2021
Lost in the Cloud,2020
Bungo Stray Dogs: Dead Apple,2018
An Observation Log of My Fiancée Who Calls Herself a Villainess,2018
Durarara!! (Light Novel),2004
Food Wars! Shokugeki no Souma,2012
How to Keep a Mummy,2014
The Morose Mononokean,2013
The Return of the 8th Class Mage,2021
JoJo's Bizarre Adventure Part 8: Jojolion,2011
Out of Control,2013
Douluo Dalu 2: Jueshi Tangmen (Novel),2012
Junjou Romantica,2002
FOG [E-Sports] (Novel),2019
Kaiju No. 8,2020
Witch Hat Atelier,2016
Baccano! (Light Novel),2002
Starting With a Lie,2019
Rascal Does Not Dream Series (Light Novel),2014
Battle Royale (Novel),1999
The Fantasie of a Stepmother,2019
Jack: The American Ghost,2013
Dream Away,2019
Go Jin and Gam-rae,2016
Lullaby of the Dawn,2020
The Guy Inside Me,2020
Roses and Champagne (Ttung Gae),2021
Landlord Sisters,2021
Holyland,2000
History's Strongest Disciple Kenichi,2002
Tsubaki-chou Lonely Planet,2015
Don’t Say You Love Me (Xiyuer),2021
It's Not Easy to Be a Man After Travelling to the Future (Novel),2013
The Apothecary Diaries (Light Novel),2014
Don't Tell Mom,2021
I Built a Lifespan Club,2021
Above Myriads,2021
Gosu - Part 2,2017
The NPCs in this Village Sim Game Must Be Real!,2019
Toradora! (Light Novel),2006
From Far Away,1991
The Story About You x Me,2019
Is It Wrong to Try to Pick Up Girls in a Dungeon? (Light Novel),2013
Gokuraku-gai Sanbandori no Ken,2020
Gokusen,1999
At the End of the Road,2016
The Seven Deadly Sins: Seven Days (Light Novel),2014
A Certain Magical Index (Light Novel),2004
Eyeshield 21,2002
Akatsuki no Yona (Light Novel),2015
The Weakest Tamer Began a Journey to Pick Up Trash,2020
The Gamer - Part 4,2017
Return of the Female Knight (Novel),2018
Wondercat Kyuu-chan,2018
Movies Are Real,2021
Koimonogatari: Love Stories,2013
The Summer With You,2018
Bakuman.,2008
SAYE (Novel),2016
The Gamer - Part 2,2015
Ouji-sama Nante Iranai,2016
Lily Love 2,2018
Kuroko’s Basketball,2008
The Man in the Mirror,2018
your name.,2016
Welcome to the Ballroom,2011
Mieruko-chan,2018
I Shall Master This Family (Novel),2019
No. 6 (Novel),2003
Tale of the Yellow Dragon,2018
"The Girl From the Other Side: Siúil, a Rún",2015
Dark Mortal,2018
Legendary Youngest Son of the Marquis House,2022
Dragon Ball Z,1989
Save Me,2016
Dark Heaven,2016
I Hear the Sunspot: Limit,2016
Beelzebub,2009
Snow White with the Red Hair,2006
Shadows House,2018
The Gamer - Part 3,2016
Umineko WHEN THEY CRY Episode 8: Twilight of the Golden Witch,2012
Douluo Dalu 3: The Legend of the Dragon King (Novel),2015
The Saga of Tanya the Evil,2016
Prison Life is Easy for a Villainess (Light Novel),2018
Purple Haze Feedback: From JoJo's Bizarre Adventure (Light Novel),2011
Angel Densetsu,1992
The Greatest Estate Developer,2021
Midnight Poppy Land,2019
Heesu in Class 2 - Specials,2019
December Rain,2017
Black Lagoon,2002
Cheating Men Must Die,2018
Cross Game,2005
"After All, I Became a Crow",2022
Mad Dog (Haribo),2021
A Silent Voice (Pilot),2011
Full Metal Panic! Sigma,2005
No. 6,2011
Kase-san and...,2010
Blue Flag,2017
Hokuou Kizoku to Moukinzuma no Yukiguni Karigurashi,2018
Blooming Sequence,2017
This Witch of Mine - Part 2,2017
Ascendance of a Bookworm - Part 2,2018
Coiling Dragon (Novel),2008
The King's Beast,2019
Leviathan (Gyeong-tak LEE),2018
Ikemen Girl to Hakoiri Musume,2019
Owari no Seraph: Kyuuketsuki Mikaela no Monogatari (Light Novel),2015
Parallel City,2019
The Angel Next Door Spoils Me Rotten (Light Novel),2019
"Into the Light, Once Again",2021
Red River,1995
Spice and Wolf,2007
Komatta Toki ni wa Hoshi ni Kike!,1997
Freaking Romance,2018
By the Grace of the Gods,2017
La Magnifique Grande Scène,2013
Blank Canvas: My So-Called Artist’s Journey,2011
Butai ni Sake!,2020
Boys Run the Riot,2020
Peerless (Novel),2018
ENNEAD,2018
Isekai no Sata wa Shachiku Shidai,2020
An Uncomfortable Truth,2016
How I Found It in July - Part 2,2019
The Good for Nothing Seventh Young Lady (Novel),2013
Stars-crossed Lovers,2017
Parasyte,1989
JoJo's Bizarre Adventure Part 2: Battle Tendency,1987
The Most Heretical Last Boss Queen: From Villainess to Savior,2020
Taisho Otome Otogibanashi,2015
Incorrigible,2019
The Reason Why Raeliana Ended up at the Duke's Mansion (Novel),2016
Tsuiraku JK to Haijin Kyoushi,2017
Stigma,2018
My Lovely Girl - Part 2,2020
Red Candy,2018
Guardian with Benefits,2019
Watashi no Shiawase na Kekkon,2018
Green Apple Paradise - Part 2,2019
Revolutionary Princess Eve,2021
JoJo's Bizarre Adventure Part 5: Golden Wind,1995
Twittering Birds Never Fly,2011
Leveling with the Gods (Novel),2019
Flirting with The Villain's Dad,2020
Sword Art Online: Progressive (Light Novel),2012
This Girl is a Little Wild,2018
Reincarnation Of The Strongest Sword God (Novel),2015
The Wilting Light,2018
Bloom Into You: Regarding Saeki Sayaka (Light Novel),2018
Uncanny Charm,2020
Welcome to the NHK! (Light Novel),2002
Imitation - Specials,2018
Noblesse: Rai's Adventure,2016
xxxHOLiC,2003
Sword Art Online (Light Novel),2009
Tobaku Datenroku Kaiji: One Poker-hen,2013
The Rose of Versailles,1972
The Shape of Your Love,2017
Blood Bank,2015
My Daughter Is the Final Boss,2022
