title,year
Danball Senki Wars,2013
The 10 O'clock Rule,2011
Rule Number One,2004
Agou and His Curse,2014
Buried In Flowers,2012
Bakumeshi!,2009
Bank-King,1999
Jadou: The Corrupt Path,2011
Bikings,2006
Ryoji Renjo: Gourmet Detective,2009
Gut's,1998
Rebirth: Degenerate Slave Abuses Tyrant (Novel),2011
A Tunnel of Spring Rain,2013
Stairway to Love,2008
I Don't Even Have Time to Live,2017
Interplanetary Intercourse,2016
Ninmusu!,2007
Datenshi ga Yattekita.,2011
Dead Brain,2013
Zanmu: Labyrinth,2017
Shokudama,2018
Mist Gears Blast,2018
Lost Youth,2015
Panty Trap,2015
First Love Chronicles,2009
Kiss Through The Mask,2018
Miquiztli: Reaper of the Sun,1990
Miya's Love,2000
My Girlfriend,1992
Mysterion,1992
New Nurse Station,2001
"Mangaka, Parkinson-byou ni Naru.",2016
Last Round Arthurs (Light Novel),2018
Kill the Rose,2018
Sansan Sakura,2018
Nougyou Danshi to Slow Life wo (Light Novel),2018
Inkonniusu no Jousai,2017
Tsubame no Hasami,2016
Koufuku Gahou,2017
Masquerade and the Nameless Women (Light Novel),2017
Iblard Monogatari: Laputa no Aru Fuukei,1995
Who Wants to Play?,2013
Calico Cat Acupuncture Clinic,2014
Fairytale Farce,2014
Umi to Dolittle,2013
Hiyaumaki,2014
Bird Strike!,2014
Katasumi Otome Once More,2014
Ningyohime no Suizokukan,2016
Tane mo Shikake mo Nai Love Story,2015
Magnet-tou Tsuushin,2017
Mujin,2014
Shigatsu Youka no Maegaki ni,2014
Beloved Marriage in High Society (Novel),2017
Ari wo Rihaberi,2009
Butsuzou no Machi,2011
Enoshima Waikiki Cafe,2009
Seseragi-sou no Kokoro-chan,2017
Jishohen,2018
Heilang,2018
Tenshi no 3P! (Light Novel),2012
Batsukoi,2014
Saihate ni Circus,2015
Futari wa Gozumezu!,2012
Hana ya Tsubame,2017
Himitsu no Hanbunko,2017
Kaibutsu Taishitsu: monster-ism,2016
Majokei: Takahashi Mako Tanpenshuu,2004
Kuronekodou Shouten no Ichiya,2005
Kuromike Ayakashi Kitan,2017
Noroiya Secret,2013
Oishii Veranda.,2018
Owari no Kuni no Towa,2017
Mixed Juice,2012
Naita Karasu ga Mou Warau,2012
Henteko Bus to Amedama Kururi,2014
Douhou no Sakebi wa Kikoenai,2018
Ashita mo Sekai wa Itsumo Doori,2014
Rakuen Sekai,2017
Hatena Illusion (Light Novel),2014
Papa Told Me,1987
Android wa Gochisou no Yume wo Miru,2018
Erzsébet,2017
Karasu ni Hitoe wa Niawanai,2018
Gaka Bakka,2018
Kinshi-chou Night Survive,2018
Rinjuu no Yousai,2018
Seiketsu no Kemono,2017
Noumen Joshi no Hanako-san,2015
Best 8,2018
Kettou Saiban,2017
Junjou Otomen Maco-chan,2017
Mimoza Koukou Bunkasai,2009
Ryuujin-sama to Kurashitara,2017
June Friend,2015
Bunbuku Kama no Meshi,2010
Hoshi to Kuzu,2013
Te no Hira ni wa Boku no Omega,2018
Oppa-bu!,2013
The Vampires Next Door,2015
Baron,1991
God Job,2005
Suginami Kuritsu Mahou Jogakuen Heiwaijibu,2018
Pico-Pico Boy EX,2017
"Ashita Shinu ni wa,",2018
Koi to Batsu,2016
Kyou no Otome-chan,2014
Golden Goblin Cubee,2016
Natsu no Mondo,2018
Shinsetsu Sekaishi Taizen,2015
Shoujo no Skirt wa Yoku Yureru,2018
Tetsukoujo nimo Hana ga Saku,2017
Omae wa Ore no Nikubuton,2016
Deng Bang,2014
"Sayonara, Mata Ashita",2014
Hell Teacher Nube Neo,2014
Kinnikuman: Kiseki no Kyuseishu Densetsu no Maki,2014
Kinnikuman Choujin Retsuden: Wolfman no Maki - Dohyojou no Mononofu,2015
Gunshin Tora wa Hanayome Omega wo Amayakasu (Light Novel),2018
Unmei no Kubiki wo Kowashite (Light Novel),2018
New Jungle King Tar-chan,1990
Kijou Senshi Mokuba-san,2014
Tsue Pechi Mahou-tsukai no Bouken no koto,2017
Hapi Hapi Kuruneko,2018
Girl from Phantasia,1993
Jog! Jog! Jog!,2018
Tenkuu no Hachi,2015
HK Dragnet,2012
Shikakerareta Haitoku: Mitsu ni Torawareta Tsuyana Hana (Light Novel),2017
Love App,2018
Futamebore,2015
Lulumate,2014
Beautiful Soul (Light Novel),2017
Mayoi Neko Overrun! (Light Novel),2008
Stalker vs. Alien,2014
Tsuyoshi Shikkari Shinasai,1986
Ushiro no Hyakutarou,1973
Terajima-chou Kidan,1968
Konjiki no Moji Tsukai: Gaiden (Light Novel),2015
Between the Sky and Sea,2017
Legends of the Dark Kings: A Fist of the North Star Story,2006
Moonrakers,2012
Meisou! Underworld,2013
Buchou ga Ochiru Manga,2018
Survivor's Guilt: A Player's Love,2015
Takoyaki Princess,2008
Chabashira Club,2010
Kyoufu! Hikigaeru no Noroi,2004
"Dragon Emperor, Martial God (Novel)",2012
Nana Toshi Monogatari,2017
Ruri no Kaze ni wa Hana Nagareru (Light Novel),2006
Futago no Oyaji,1998
Pairazahda,1983
Mahiru ni Miyoko,2009
Brocon Chounan to Koisuru Process,2016
Koko wo Isekai to Suru!,2018
Kizuna: Hand of God Unbound by The Heavens,2008
Shinobi no Kuni: Anthology-ban,2017
Katsu Fuutarou!!,2013
Iki mo Dekinai Kurai ni Kimi wo (Light Novel),2018
Cut & Paste de Kono Sekai wo Ikiteiku (Light Novel),2017
How To Die As Heavy As Mount Tai (Novel),2017
Getsuyoubi wa 2-gen kara,2012
I Will Fall In Love With My Roommate Tomorrow,2018
Senyuu.: Main Quest Dai-1 Shou,2013
Thunder Jet,1989
Rail Wars! Nihon Kokuyuu Tetsudou Kouantai (Light Novel),2012
Rail Wars! Nihon Kokuyuu Tetsudou Kouantai: The Revolver,2012
Kawaikute Zurui Hito,2018
Riho Sachimi Collection,2001
Romance (Mako TAKAMI),1997
Scarlet Blade,1985
Tasokare's Dream,1998
The Glory Days of Tachibanaya,1992
The Green Eyes,1989
The Heartful Store of Goldenrod Hill,2000
The Splendid Days of Queen Ruriko,1997
The Watch Cats of Ginza,2005
The Yamada Wife,1998
Gargantia on the Verdurous Planet: Side Story - Shounen to Kyojin (Light Novel),2013
God-chans,2017
Warui Onnanoko,2018
Onakura no Yuurei-san,2018
Battles of the Wandering Chef,2003
Cash Boy,1994
Culinary de Tonguetive,2005
Use Your Voice Series,2007
Gourmet King Kukingu Special,2013
Oshiego ni Kyouhaku Sareru no wa Hanzai Desu ka? (Light Novel),2018
Koiseyo Kimono Otome,2017
Ten no Ketsumyaku,2012
Shiawase Afro Tanaka,2015
Furimukuna Kimi wa,2010
Koukou Afro Tanaka,2001
Chuutai Afro Tanaka,2004
Joukyou Afro Tanaka,2007
Sasurai Afro Tanaka,2010
Shoku-King,1999
Kenka Ramen,1995
One-sided Love Paradise,2008
You Don't Even Know My Feelings,2007
S & M,2005
The Eve of Uneasiness,2003
Shinkon Omega no Sengoku Hatsukoi Emaki (Light Novel),2018
Yuenchi: Baki Gaiden (Light Novel),2018
Hana yori mo Yaiba no Gotoku,2013
City of Zak,2018
Youma,nan
Strange Dragon Tokubetsu-hen,nan
In the Locker,2012
Nanajin,2018
Banrai no Hekatoncheir,2017
Kamiotoshi no Oni,2017
Yuusha no Party ni Eiyoushi ga Kuwawatta!,2017
Gokinjo Sanrinsha-tai,2017
Ore-tachi no Fantasy wa Mada Hajimaranai!,2017
Ragnarok of the Hero and the Crest,2018
Rockman Remix,1996
From the Heavens,2014
Meat Up Liberation Union,2014
Yum Yum Sweets,2014
Whatever Happened to the Guy Stuck in the Elevator?,2015
Isekai Byouin,2017
Chicchana Maou-sama!,2017
Blue Flames,1988
Nekorobi Yaoki,2016
Wolf Pack,2017
Watashi no Tame ni Nuginasai!,2018
JK Shousetsuka Ppoi!,2015
Datte Suki Nanda mon!,2012
Gimmick: Warden no Kagegami (Light Novel),2010
Jitto Mitsumeru Kimi wa Datenshi (Light Novel),2016
"Circle Crusher no Ano Ko, Boku ga Kidoku Through Kimetara Donna Kao Suru Darou (Light Novel)",2016
Tanpenshuu,1997
Pawahara Bishoujo Kanpanii,2017
Saigo ni Dakaretai Otoko,2018
Proposal to Sono Shunkan,2018
Murasaki,2018
Dakasete Kudasai Futaba-san!,2018
Usotsuki Shounen no Isekai Bouryaku Game (Light Novel),2018
Cobra: The Psychogun,1995
Cobra: Magic Doll,2000
Cobra: Time Drive,1997
Cobra: Galaxy Nights,1996
Cobra: Blue Rose,1997
Imouto Rireki,2018
Black & Blue (Light Novel),2008
Kanzukasa (Light Novel),2012
Hatsujou Roots,2018
Starship Girl Yamamoto Yohko,1995
Natsuyasumi no Tomo,2017
Koibito wa Danna-sama,2017
With the Sheikh in His Harem,2018
Clover Trèfle,2012
Moment: Eien no Isshun,2014
Yome ni Shitai Otoko,2018
Hajimete no Hito,2015
Otome Tsubaki wa Warawanai,2018
Nagatan to Ao to: Ichika no Ryourichou,2017
Hatsukoi x Again,2018
Hatsukoi Dance!,2018
Bishoujo Mitsu,2014
Tenshi ga Nozokimi: Eikoku Kizoku to Ryoumin-tachi no Himitsu,2017
Shitsuji wa NEET ni Seifuku Sareru,2016
15-byou Dake: I Know I'm Falling,2014
"Pulverize 'Em, Zack!",1984
Ayakashi Ou no Hanayome,2015
Under Duress,2015
"Bijin, Hajimemashita!",2015
Bokura no Genji-hime,2015
Bonnou Puzzle,2014
"Chiru, Chiru, Michiru.",2016
Devil@Home,2016
Bocchi Album,2015
Digilog Renai Seikatsu,2017
Dragon no Oukan,2015
Ore to Kiriyama no Atsui Yoru (Light Novel),2018
Nagi no Oitoma,2016
Giga Town: Manpu Zufu,2015
Maki to Mami: Joushi ga Suitai Genre no Ota Nakama datta Hanashi,2017
Houga Presentation Joshikousei Hou Kichi! Eiko-san,2017
Dokushin OL no Subete,2013
Yuria-sensei no Akai Ito,2018
Kimi ga Tsugai ni Naru Made,2018
Lullaby for Girl,2017
Isekai Consul Kabushikigaisha (Light Novel),2017
Tanizaki Mangekyo: Tanikazi Junichiro Manga Anthology,2016
Sorairo no Melody,1987
Bagel Tabenai? Shiawase Café Gohan,2011
Bug Girl.,2018
Material Candy,2012
Naturize,2014
Meiji Gasutou Youmushou: Akaneya Yakumo,2014
Ookami to Hitsuji,2013
Dead Flowers (Dami),2015
Ijiwaru Syrup,2012
Wish of Fairy,2017
Archery Boy,2015
Sekai Seifuku wa Mata Ashita,2015
Yousai Gakuen,1994
Bushidou,2005
GoGo★Heaven,2004
Inochi+Kurenai,2001
Sex★Machine,2000
Higuma no Te,2017
Silver Overlord (Novel),2017
In Your Dream,2017
About Us,2017
"Maryoku Zero no Ore ni wa, Mahou Kenki Saikyou no Gakuen wo Shihai dekinai... to Omotta? (Light Novel)",2016
Murder Pass,2009
Genkai Toppa no Dekiai (Light Novel),2015
Rosemary Hotel Akishitsuari,1994
Dekiai Denka to Tennen Princess (Light Novel),2016
Nemurenai Ou-sama no Yasumigakari (Light Novel),2016
Toki no Daichi,1996
Sukitte Ienai Kanojo ja Dame Desu ka? Hokage-san wa Light Novel wo Gouri-teki Yomi Sugiru (Light Novel),2018
Shironeko Project: Hikoujima Kouen,2016
Umayon,2018
Trafford’s Trading Club (Novel),2016
Saishuu Loop,2008
Alpha Squadron Al-Ranger,2018
Net Celeb Mona,2016
Tails,nan
Greatest Band on Earth,2016
Matsurika Kanriden (Light Novel),2017
The Strategy of Washing Clean a Slag Shou (Novel),2017
Sorya Naize Baby,1993
My Master and Me,2012
My Housekeeper's a Boy!?,2016
Storm of Love,2014
The Great Yakuza-Sitter,2014
Boukyaku no Sachiko,2014
Alpha no Koibito (Light Novel),2018
Shuraba na Ore to Otome Kinryouku (Light Novel),2011
Aiming to Please,2012
Cleopatra,2001
Jiang Hu's Road is Curved (Novel),2012
The Deer and the Cauldron (Novel),1969
Kyuubi no Kitsune to Namagusa Bouzu,2017
Lance N' Masques (Light Novel),2013
Yomitai Hon wa Nai Keredo,2018
Tatakae! Tarantella,2006
The Nine Cauldrons (Novel),2009
World of Cultivation (Novel),2010
Sentimental Android,2012
Tsurune: Kazemai Koukou Kyuudou-bu (Light Novel),2016
Koibitotachi no Basho,1986
"Gomen, Daikirai",2010
G: Gokudo Girl,2002
Tomodachi Tetra!,2012
Kirisaki Walter,2013
Shiro Ouji Kuro Ouji,2011
Hitomi Brand,1997
Otohime Connection,1990
Mote Asobarete mo Kamawanai,2012
Miagete Goran,2005
Kujira no Mejirushi,2005
Nora Neko no Hanashi,2001
Gabai,2005
Croket!,2000
4-koma Youkai Watch: Geragera Manga Gekijou,2014
Bus Guide Monogatari: Sakou Watari Shoki Kessakushuu,2006
Smoking,2015
Shigoto Osame: Shokugyoubyou Jiken-chou,2018
Mahou Shoujo wa Shibou Suru,2018
Majutsu Yaburi no Revenge Magia,2017
Majutsu Yaburi no Revenge Magia (Light Novel),2017
"Johai Shogun, Mata Yabureru",2018
"Johai Shogun, Mata Yabureru (Light Novel)",2018
Death Ball,2018
Endro~!,2018
Boku,2000
Cruise: Ishi Yamada Kouhei Koukai-shi,2008
E',2002
Deka Girl,2008
Genzaikan Ryoukei Mofu,2005
Joshuu Rei: Hei no Naka no Satsuriku Game,2010
Aikagi,2015
Taketori Monogatari,2014
Witchcraft Monsters,2014
Mobile Suit Gundam: After Jaburo,2014
Jikai no Death Game ni Gokitai kudasai!!,2018
Martial King’s Retired Life (Novel),2016
Perman,1966
Shin Kobo-chan,2004
Musashi no Ken,1981
Paris no Koibitotachi,2007
Cyborg Kuro-chan,1997
Junai Tokkou Taichou! Maji,2009
Penguin Summer (Light Novel),2009
Candid: Otome to Camera to Jigokuzuki (Light Novel),2012
Seizuyomi no Leena (Light Novel),2009
Hikikomori-tachi ni Ore no Seishun ga Honrou Sareteiru (Light Novel),2013
Boku no Gakuen Seikatsu wa Mada Hajimatta Bakari da! (Light Novel),2013
Hidamari Sketch: Anthology Comic,2007
Viva La Vida!!,2016
Private Investigators of Love,2014
Honey-Salt and Bitter Sugar,2015
Seirei-sama no Nangi na Nichijou,2017
Sugar Darling,2016
Morphine,2007
Konbini Ojou-sama,2015
Bakumatsu Heisei Kid,2004
Alice ni Omakase!,1992
Niku Q Ikka,2008
170 cm Otometica,2013
Shougakusei no Himitsu,2012
Connect,2015
1-nen 3-kumi Nyanpachi Sensei!,2011
Indigo no Yoru,2013
Uchi no Asano ga Sumimasen,2016
Mahou Tsukai no Shinyuu,2012
Yakyuu no Hoshi Metman,2015
Tonari no Miracle Tenkousei,2017
Go Go♪Kochira Shiritsu Hanasaki Tantei Jimusho.,2006
Edokko Edokou,2004
Takunabi,2005
ILIAD,2002
Shin Kijou no Kowloon,2005
Kijou no Kowloon,2000
My Favorite Bike,2003
Ore!,2007
Shin Hoero Pen,2004
Revolution No. 3,2003
Kirikiritei no Buraun Sensei,2002
"30-sai Doutei, Kyou kara Mahoutsukai ni Narimashita.",2018
Ai wo Shiru Hoshi,2018
S.Flight,2018
Samurai Spirits,1995
Bitter Sweet Sandwich,2018
Nemureru Koi no,2014
"Saeki-san to, Hitotsu Yane no Shita (Light Novel)",2017
Oshikake Maid no Shirayuki-san,2018
Snowball,2018
Imocon,2016
Fudanshi-sensei!!!!!,2017
Fudanshi-sensei!!!!! (Light Novel),2017
Kimi Koi Vektor,2015
Shounen yo Tanbi wo Edake,2005
Ryuugajou Nanana no Maizoukin Bangai-hen (Light Novel),2014
Ikkyuu Tensai no Kiwamete Fuhoni na Meisuiri (Light Novel),2013
Akumazelma,2009
Neko to Watashi to Deutschland,2018
Cop Craft: Dragnet Mirage Reloaded (Light Novel),2009
Bell,1999
Otomeiro Stay Tune,2007
Ghost Hunt Scramble!,2007
Incubus,1999
Lunch Box,2005
Ashiato Tantei,2016
Kawaikunai yo,2012
Pit a Pat stage,2017
Piano no Mushi,2012
Deadly Paradise,2018
Monosuru Hito,2017
Ryuu to Ryuugoroshi no Miko,2018
Machigaigoto,2017
Transnauts,2016
Warera Contactee,2017
Sittaka Brillia,2017
Blue Something,2015
Anata wo Otona ni Suru Maru-tsu no Koto,2017
Saka no Machi,2018
Tenshou no Quadrable,2017
Houkago Kagura Vibes,2018
Jingai Coupling Catalog.,2017
Khan: Kusa to Tetsu to Hitsuji,2017
Shinsengumi Rebellion,2017
37°C (Light Novel),2008
A Kiss and a Pair of Handcuffs (Light Novel),2004
Amazing Grace (Light Novel),2016
4-Koma Starlight,2018
Koisuru Suizoku-man,2016
Kyouryuu no Kaitakata,2016
Banjou no Tsumi to Batsu,2014
Nankuru,2014
Kami-sama no Otawamure,2014
Hakuba no Oyome-san,2014
Watashi Sora Anata Watashi,2014
Sougen no Miyako,2014
Saku wa Edo ni mo Sono Soshitsu,2014
Mahoroba Kissa,2013
Psycho Romantica,2013
Flowers in the Mirror,2017
Seimei-san wa Ganbaranai,2013
Märchen Welt,2013
Kuwagata ni Chop Shitara Time Slip Shita,2013
Hanabira no Shima,2015
Areyo Hoshikuzu,2013
Tasogare Takako,2013
Busubusu,2013
Sekai Hachibanme no Fushigi,2013
Minikui Kaeru no Ko,2013
Croket! Black Label  ,2017
Renai Sophisticate,2013
Ark IX (Light Novel),2013
Red Packet Server (Novel),2016
"An Earnest Unrequited Love, Wanting to Make it Bear a Little Happiness. (Light Novel)",2013
Witch Hunt (Light Novel),2014
Jogakusei Tantei Series (Light Novel),2013
Yuurei Kareshi,2018
Automan,2018
Fringe-man,2013
Imouto wa Meshimazu ,2016
Futago Caste,2018
Sagishi (Light Novel),2011
Cavalier With the Truth,2015
Terror Infinity (Novel),2007
Dragalia Lost,2019
After Demon,nan
Psycho Bank,2015
Allen & Dolan,2016
17-Sai (Youzou SHIMIZU),2009
Renai Ichiji Shiken,2009
Toaru Shikai no Kyuuai,2009
Tana Kara Botamochi,1998
Isekai Kitchen: Arasa Eiyoushi no Second Life (Light Novel),2018
Baroque Knight (Light Novel),2012
Ultra B,1984
Trance Spec Love (Light Novel),2018
Hoshiakari Graphics,2016
Stance Reverse,2012
Getsuyoubi no Tomodachi,2017
Tricolore,2016
Amaterasu-san wa Hikikomoritai!,2017
Qin Si,2016
Winter Rose,1992
Dekiai Shinkanou no Unmei no Tsugai: Isekai ni Tobasaretara Omega Deshita (Light Novel),2019
Henkyou no Kinjuuou: Aiin Omegaverse (Light Novel),2019
Maohden (Light Novel),1986
Omega Auction: Sennyuu Sousa no Yoru,2018
"Bouquet Rouge Aichou Monogatari: Shinku no Heya de, Ouji no Inai ni Someagerarete (Light Novel)",2013
Chocolatier wa Koi ni Torokeru (Light Novel),2015
Goo to Goo,2017
Taotao,2017
Kimi wo Shinasenai Tame no Storia,2016
Before the Footprint Melts,2016
Little Witch Academia: The Nonsensical Witch and the Country of the Fairies (Light Novel),2017
Drowning in Your Love,2017
Ten wo Iru: Shoot for the Heavens,2019
GGWP: Good Game Well Played!,2019
Hokuriku Triangle,2016
Tono to Issho,2005
Parts no Pa,2007
Kare to Karetto.,2011
"Kochugunshikan, Boukensha ni Naru (Light Novel)",2018
Odoru Hoshi Furu Renesickle (Light Novel),2011
Shousetsu-ou,2018
Ero no Himitsu Kessha Dossycalled,2018
Saegusa Kyouju no Subarashiki Kinruigaku Kyoushitsu,2018
Kogane Crafter,2017
Chisanpo no Kappa Shokudou,2018
Dog Signal,2018
Hokenshitsu no Sensei.,2018
Arakida-sensei no Happy Portrait,2018
Coffee no Mazui Gokudou Kissaten,2018
Kare to Neko ga Matteiru.,2018
Tamani Kizu Ato,2018
Hammer Session! R,2009
Osasete! My Teacher,2018
Blue Moment,2018
Shoboshobo Man,2016
Blue Thermal: Aonagi Daigaku Taiiku Kyoukaibu,2015
Ginga no Shinanai Kodomotachi he,2017
Rikei no Hitobito,2008
Yamamoto Ahiru no Jitsuroku 4-Koma,2018
Gosujin Daisuki Ponta no Yuuutsu,2018
Mada Mahou Nanka ni Tayotterassharu no Deshou ka?,2018
Ming Ruo Xiao Xi,2009
Momoka Typhoon!!,1987
When A Snail Falls in Love (Novel),2013
Nirvana in Fire (Novel),2007
Night Emperor (Novel),2014
Legend of Fu Yao (Novel),2010
"Faithful to Buddha, Faithful to You (Novel)",2008
Counter Attack (Novel),2013
Bichunmoo,1997
Bridal Mask,1974
Le Grand Chef,2003
Fossil Fighters,2008
Kokuhou no Oisha-san,2018
All Rush! Eiga wo Tsukuru Monogatari,2018
Noraneko to Benriya,2018
Lemons: Bokura Umibe no Hon'ya-san,2018
Kyou no Miyako no Kou no Michi,2018
Preppers!,2018
Share with Blood,2018
Kori no Hanatori,2017
Yuuryou Shoujo Family Yan,2018
Shounen Hero,2010
Toukai Retrospective,2007
Muteki no Zarathustra,2011
Anata no Inu ni Naritai,2010
Hakui wa Nuganaide!,2011
Love Talk,2008
Virgin Road de Aimashou,2018
Shachiku-kun to Dorei-chan,2018
Raburin Ice Cream,2006
"Maoh Desu. Onna Yuusha no Haha-oya to Saikon Shita no de, Onna Yuusha ga Giri no Musume ni Narimashita. (Light Novel)",2018
Mangayaku: Shuten-douji Emaki,2018
Faceless,2018
The Way We Are,2012
Seijo Futari no Isekai Burari Tabi (Light Novel),2018
Mahou Yakushi ga Niban Deshi wo Mederu Riyuu: Senzoku Oshokujigakari ni Ninmei Saremashita,2018
Mahou Yakushi ga Niban Deshi wo Mederu Riyuu: Senzoku Oshokujigakari ni Ninmei Saremashita (Light Novel),2017
Super Danganronpa 2: Zetsubouteki Ingaritsu no Naka no Souda Kazuichi,2016
Ookami Ryoushu no Ojou-sama (Light Novel),2017
Saikyou no Kanteishitte Dare no Koto? Manpuku Gohan de Isekai Seikatsu (Light Novel),2017
Kiritsu! Kiwotsuke! Nijisanji-Gakuen!,2018
Harukaze Furusato Kankou Kyoukai,2018
Kawataredoki no Hakomonogai,2018
Seigi to Mirai: Nekketsu Shihoushoshi no Jikenbou,2018
Ashita wo Tsuzuku Shashinkan,2018
Shogun no Chi,2018
The Fiancée Chosen by the Ring (Light Novel),2016
"Aa, Mou! Kawaii naa!!",2018
Fukuzawa Yukiko no Kimyou na Gourmet,2018
Sanya Zensen,2018
Midori no Omega wa Aka o mo Aisuru (Light Novel),2018
Zoids Planet Zi,2001
Suppon Monogatari,1966
Yomawari-sensei: Tokubetsu-hen - Sayonara ga Ienakute,2009
Gun to Onee to Satsuriku Heishi,2018
Hitogoroshi ga Shinpu-san ni Hitomebore,2015
"Tsundere Jouhouya wa, toaru Keikan wo Koroshitai",2017
Breakdown,1996
New Lone Wolf & Cub,2003
Soshite - Kozure Ookami: Shikaku no Ko,2007
Yakusoku no Kuni (Light Novel),2014
Brain Damage,2016
Tabemono Kemono,2015
Kabegoshi no Shishunki.,2013
Hitorijime Primavera,2015
Manhunt,2017
Koisuru Boulanger: Marugoto Tabete Hoshii no (Light Novel),2014
Kodomo End Roll,2016
Tabe Bu ni Ii ne!,2016
Mizuki,2010
Junk Rank Family,2016
Oren's,2015
Please Make Me Your Pet!,2015
Narusawa-kun wa Oishii Kao ni Koishiteru,2015
Owaru Sekai ni Aoiro wo,2018
Baito no Komori-kun,2017
"Hanbun, Aoi.",2018
Howacoloclub,2017
Hazukashigariya no Salamanjou-san,2017
In/Spectre (Light Novel),2011
Hagure Seireii no Shinsatsu Kiroku: Seijo Kishi-dan to Iyashi no Kamiwaza (Light Novel),2017
Badge in Azure (Novel),2009
Uchouten BOYS,2017
The 31st Consort (Light Novel),2017
Sekaiichi Muzukashii Galge: Heart wo Tsukande Sekai Seifuku!,2018
2-gatsu no Shousha: Zettai Goukaku no Kyoushitsu,2017
Mietamienai Sekai,2016
Dessert Eagle,2015
"Taikouhi Kouho dakedo, Genjitsu ni Ikou to Omoimasu (Light Novel)",2016
Isekai Trip Shita Sonoba de Taberarechaimashita (Light Novel),2017
Homeless Tensei: Isekai de Jiyuu Sugiru Jikyuu Jisoku Seikatsu (Light Novel),2018
Ike Ike! Famitsu Kikudan: Granblue Fantasy Play Manga - Honjitsu wa Seiten Nari!,2016
Shinwa Keisatsu 24-ji,2018
Girls und Panzer der Film Variante,2016
Girls und Panzer: Senshado no Susume,2016
Koharubiyori to Animal Voice,2017
Shinomiya-kun ni wa Wake ga Aru,2017
Tenka Hyakken: Sai,2017
Tenka Hyakken: Shun,2017
Monster & Parent,2018
Mobile Suit Gundam: The Origin MSD - Cucuruz Doan's Island,2016
Tenka Hyakken: Gi,2017
Mobile Suit Gundam Narrative,2018
"Kochira Last Boss Maoujou-mae ""Kyoukai"" (Light Novel)",2018
Shi mo Mata Shisuru Mono Nareba,2018
Gokurakuji Hinemosu Nikki,2018
Chun Manga,2018
Werewolf Breeding,2012
100 Strange Nights,2016
"Women, Comics and Shoes",2010
Smile Again,nan
Ni Ya Shangyin Le? (Novel),nan
Yuusha to Wagahai no Mujintou Hyouryuuki,2015
Seishounen no Tame no Eguchi Hisashi Nyuumon,2002
Yuirika Shoukougun,2014
Yureru Ruru,2015
Yumebu e Youkoso,2014
Otometal!,2011
Yume Miru Kishi to Himitsu no Hime,2016
Yoakemae no Uta,2016
Yasashikunai Kimi ga Suki,2016
Yakkai na Hatsukoi wa... Senpai to,2018
Yagi-kun to Mei-san,2015
Sennen no Toriko: Shitsuji Hiiragi,2013
Bodyguard wa Henjin-san,2012
Odoro: Youko to Tanonaka no Hyakkikou Jikenbo,2001
Boukyaku no Hate: 16-sai no Jibun e no Tegami,2016
Nagata-sensei wa Oyobigoshi,2011
Gundam Build Fighters (Light Novel),2015
Sweet Sorrow,2014
Hoshi Furu Oka no Majo,2008
Usotsuki Omega to Yasashii Unmei,2018
Ai to Smartphone no Aru Seikatsu.,2017
Kanojo to Tabi suru Post Apocalypse,2016
"Tokaku kono Yo wa Ikinikui: ""Utsu"" de ""Mu"" ni natta Watashi",2018
Ninki Mangaka ni Naru Tame no 15 no Housoku,2018
Just Because! (Light Novel),2017
Mobile Suit Gundam Seed Astray: Princess of the Sky,2015
Shingetsu Protocol,2018
Enoku Dai Ni-butai no Ensei Gohan,2017
Enoku Dai Ni-butai no Ensei Gohan (Light Novel),2017
Maison de Pilote,2016
Sumi de Ii desu. Kamawanaide Kudasai yo.,2017
Sumi de Ii desu. Kamawanaide Kudasai yo. (Light Novel),2016
Hen Xi You,2016
"The More Useless He Is, the More I Love Him",2004
My Former Significant Others Were All Alphas (Novel),2016
Mini Toji: Shucchouban,2019
Uchuu toka to Kurabetara Chippokena Mondai Desu ga,2017
"Totsuzen, Haikou to Iwaremashitemo.",2018
"Sennen Kitsune: Gan Bao ""Soushenji"" Yori",2018
Kaa-sama no Ie: Ogami-ya Gounai Shintou no Kaiitan,2019
Gekijou no Kodama,2018
Granblue Fantasy Gaiden: Tsuioku no Ashivel,2018
Amaterasu-sama Goranshin,2018
Suki shika Iwanai,2016
"Suiyoubi, 5-jikanme",2016
Speed Line,2018
Kingyotsuma,2016
Yuuki Hazuki Kessakusen,2007
More Obscene and Purer Than a Kiss,2011
Dare Nimo Ienai xxx,2004
Don't Worry Baby!,2003
A Princess and Her Manservant's Naughty Playtime,2006
Impression,2001
Colorful Mate,2003
Kimi wa Toshishita no Otoko,2007
The Apples and the Beast,2005
Don't Call Me Your Teacher!,2006
Uso no Kiss Amai Kizu: Kindan no Koi,2006
Yokujou Baby,2007
Yumemiru Kibun de,2007
Ghoulmate,2018
Grant Leauvas Monogatari,1989
Over Clock: Once in a Blue Moon,2007
Renal Moral,2008
SSR no Tamago: Haken Illustrator Hajimemashita,2018
Teruya-kun wa Hodasarenai,2015
"No Panties, No Problem",2013
"Kono Ken, Zettai Himitsu de Onegaishimasu!",2017
"That Which Is Hidden, Blossoms!",2013
We Won't Die Easily!,nan
Dragon Seed,2017
Tales of Supernatural Houses,2017
Of Ghost and Monk,nan
Gokuraku Smile,2000
Nekomachi Shop Tour Guide,2005
VS. Otomegumi,2004
